P. Name,P. Name Kepler,P. Zone Class,P. Composition Class,P. Mass (EU),P. Radius (EU),P. Gravity (EU),P. Ts Mean (K),P. Period (days),P. Mean Distance (AU),S. Name,S. Constellation,S. Mass (SU),S. Radius (SU),P. Habitable,P. Disc. Year,Norm Distance
KOI-260.03,Kepler-126 c,Hot,rocky-iron,4.02,1.56,1.65,836.2,21.87,0.16,KOI-260,Cyg,1.19,1.36,0,2015,0.16161616
KOI-261.01,Kepler-96 b,Hot,rocky-iron,17.43,2.27,3.38,729.4,16.24,0.13,KOI-261,Cyg,1.00,0.90,0,2015,0.13131313
KOI-262.01,Kepler-50 b,Hot,rocky-iron,3.83,1.54,1.62,1237.6,7.81,0.08,KOI-262,Cyg,1.26,1.58,0,2015,0.08080808
KOI-262.02,Kepler-50 c,Hot,rocky-iron,7.13,1.82,2.15,1169.9,9.38,0.09,KOI-262,Cyg,1.26,1.58,0,2015,0.09090909
KOI-270.01,Kepler-449 b,Hot,rocky-iron,4.11,1.57,1.67,962.6,12.58,0.10,KOI-270,Cyg,0.97,1.47,0,2015,0.10101010
KOI-270.02,Kepler-449 c,Hot,rocky-iron,8.24,1.89,2.31,708.2,33.67,0.20,KOI-270,Cyg,0.97,1.47,0,2015,0.20202020
KOI-271.02,Kepler-127 c,Hot,rocky-iron,23.16,2.42,3.95,751.2,29.39,0.20,KOI-271,Lyr,1.24,1.36,0,2015,0.20202020
KOI-271.03,Kepler-127 b,Hot,rocky-iron,3.17,1.46,1.49,928.5,14.44,0.12,KOI-271,Lyr,1.24,1.36,0,2015,0.12121212
KOI-273.01,Kepler-454 b,Hot,rocky-iron,7.75,1.86,2.24,890.9,10.57,0.10,KOI-273,Lyr,1.07,1.08,0,2015,0.10101010
KOI-274.01,Kepler-128 b,Hot,rocky-iron,2.94,1.43,1.44,1009.0,15.09,0.13,KOI-274,Lyr,1.18,1.66,0,2015,0.13131313
KOI-274.02,Kepler-128 c,Hot,rocky-iron,2.87,1.42,1.42,883.9,22.80,0.17,KOI-274,Lyr,1.18,1.66,0,2015,0.17171717
KOI-275.01,Kepler-129 b,Hot,rocky-iron,18.45,2.30,3.49,950.4,15.79,0.13,KOI-275,Dra,1.20,1.64,0,2015,0.13131313
KOI-275.02,Kepler-129 c,Hot,rocky-iron,22.30,2.40,3.87,569.9,82.20,0.39,KOI-275,Dra,1.20,1.64,0,2015,0.39393939
KOI-277.02,Kepler-36 b,Hot,rocky-iron,3.32,1.48,1.52,1017.2,13.85,0.12,KOI-277,Cyg,1.07,1.63,0,2015,0.12121212
KOI-279.02,Kepler-450 c,Hot,rocky-iron,26.43,2.49,4.26,991.1,15.41,0.13,KOI-279,Cyg,1.35,1.57,0,2015,0.13131313
KOI-282.02,Kepler-130 b,Hot,rocky-iron,0.96,1.03,0.90,1010.1,8.46,0.08,KOI-282,Lyr,0.93,1.13,0,2015,0.08080808
KOI-282.03,Kepler-130 d,Hot,rocky-iron,2.53,1.37,1.35,486.2,87.52,0.38,KOI-282,Lyr,0.93,1.13,0,2015,0.38383838
KOI-283.01,Kepler-131 b,Hot,rocky-iron,9.90,1.98,2.52,744.2,16.09,0.13,KOI-283,Lyr,1.07,0.96,0,2015,0.13131313
KOI-283.02,Kepler-131 c,Hot,rocky-iron,0.37,0.77,0.62,628.7,25.52,0.17,KOI-283,Lyr,1.07,0.96,0,2015,0.17171717
KOI-284.01,Kepler-132 d,Hot,rocky-iron,2.80,1.41,1.41,776.3,18.01,0.13,KOI-284,Lyr,0.92,1.04,0,2015,0.13131313
KOI-284.02,Kepler-132 c,Hot,rocky-iron,1.79,1.24,1.16,1077.4,6.41,0.07,KOI-284,Lyr,0.92,1.04,0,2015,0.07070707
KOI-284.03,Kepler-132 b,Hot,rocky-iron,0.99,1.04,0.91,1087.5,6.18,0.06,KOI-284,Lyr,0.92,1.04,0,2015,0.06060606
KOI-285.02,Kepler-92 c,Hot,rocky-iron,21.07,2.37,3.75,832.3,26.72,0.19,KOI-285,Lyr,1.21,1.70,0,2015,0.19191919
KOI-285.03,Kepler-92 d,Hot,rocky-iron,10.10,1.99,2.55,683.3,49.36,0.28,KOI-285,Lyr,1.21,1.70,0,2015,0.28282828
KOI-291.02,Kepler-133 b,Hot,rocky-iron,7.91,1.87,2.26,1115.9,8.13,0.08,KOI-291,Cyg,1.00,1.50,0,2015,0.08080808
KOI-292.01,Kepler-97 b,Hot,rocky-iron,4.40,1.60,1.72,1371.4,2.59,0.04,KOI-292,Cyg,0.91,0.97,0,2015,0.04040404
KOI-295.02,Kepler-134 c,Hot,rocky-iron,4.72,1.63,1.77,1094.9,10.11,0.10,KOI-295,Dra,1.26,1.53,0,2015,0.10101010
KOI-299.01,Kepler-98 b,Hot,rocky-iron,7.13,1.82,2.15,1479.4,1.54,0.03,KOI-299,Lyr,0.99,0.89,0,2015,0.03030303
KOI-301.01,Kepler-135 b,Hot,rocky-iron,5.75,1.72,1.95,1224.5,6.00,0.07,KOI-301,Lyr,1.19,1.21,0,2015,0.07070707
KOI-301.02,Kepler-135 c,Hot,rocky-iron,1.09,1.07,0.95,987.8,11.45,0.11,KOI-301,Lyr,1.19,1.21,0,2015,0.11111111
KOI-305.01,Kepler-99 b,Hot,rocky-iron,8.07,1.88,2.28,864.9,4.60,0.05,KOI-305,Cyg,0.75,0.77,0,2015,0.05050505
KOI-312.01,Kepler-136 b,Hot,rocky-iron,9.70,1.97,2.50,956.0,11.58,0.11,KOI-312,Cyg,1.17,1.19,0,2015,0.11111111
KOI-312.02,Kepler-136 c,Hot,rocky-iron,6.83,1.80,2.11,854.4,16.40,0.13,KOI-312,Cyg,1.17,1.19,0,2015,0.13131313
